Exported at 17/08/2021 13:38:26
Core ID:,MAYLE21-Loma-Suarez-18-62cm
Comments:,
Depth,Depth In Core,Section,Section Depth,Time Stamp,Laser Profiler,Magnetic Susceptibility,Mag Sus in Air,Greyscale Reflectance,Munsell Colour,CIE XYZ Colour Space, , ,CIE L*a*b* Colour Space, , ,Reflectance (nm), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cm,cm,,cm,,mm,x10^-5 SI,x10^-5 SI,,,X, Y, Z,L*, a*, b*,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740
21.0,21.0,1,21.000,05/08/2021 14:27:36,-4.171,9.921,1153962.502,12.342,9.2 YR 4.00/0.90,11.68, 12.00, 10.95,41.21, 1.95, 5.65,8.92, 8.96, 9.11, 9.23, 9.31, 9.35, 9.51, 9.61, 9.83, 10.01, 10.16, 10.23, 10.38, 10.49, 10.68, 10.90, 11.15, 11.39, 11.60, 11.82, 12.05, 12.32, 12.58, 12.78, 12.97, 13.21, 13.38, 13.60, 13.77, 13.97, 14.13, 14.32, 14.51, 14.77, 15.00, 15.19, 15.40, 15.59, 15.86, 
21.5,21.5,1,21.500,05/08/2021 14:27:53,-3.682,10.054,1153962.304,14.180,7.8 YR 4.30/0.60,13.43, 13.87, 13.56,44.05, 1.63, 3.65,12.35, 12.26, 12.32, 12.30, 12.24, 12.21, 12.15, 12.25, 12.31, 12.41, 12.47, 12.60, 12.54, 12.72, 12.88, 13.01, 13.16, 13.32, 13.54, 13.76, 13.92, 14.09, 14.30, 14.50, 14.66, 14.85, 14.96, 15.17, 15.37, 15.49, 15.68, 15.85, 16.01, 16.25, 16.50, 16.67, 16.79, 17.07, 17.21, 
22.0,22.0,1,22.000,05/08/2021 14:28:10,-4.199,9.657,1153962.239,12.734,8.9 YR 4.10/0.70,12.05, 12.42, 11.74,41.88, 1.72, 4.59,9.92, 9.95, 10.09, 10.17, 10.21, 10.26, 10.31, 10.44, 10.61, 10.75, 10.87, 10.93, 11.03, 11.13, 11.31, 11.51, 11.72, 11.88, 12.05, 12.27, 12.47, 12.66, 12.90, 13.13, 13.29, 13.45, 13.62, 13.81, 13.99, 14.17, 14.33, 14.46, 14.69, 14.87, 15.12, 15.31, 15.50, 15.66, 15.89, 
22.5,22.5,1,22.500,05/08/2021 14:28:27,-3.568,9.716,1153962.177,13.223,8.8 YR 4.10/0.70,12.52, 12.90, 12.28,42.62, 1.75, 4.44,10.46, 10.48, 10.62, 10.70, 10.73, 10.76, 10.83, 10.91, 11.10, 11.24, 11.36, 11.42, 11.53, 11.60, 11.76, 11.98, 12.20, 12.36, 12.52, 12.72, 12.92, 13.16, 13.38, 13.62, 13.77, 13.96, 14.12, 14.34, 14.48, 14.71, 14.82, 15.00, 15.22, 15.40, 15.67, 15.81, 16.04, 16.20, 16.41, 
23.0,23.0,1,23.000,05/08/2021 14:28:45,-4.971,9.322,1153962.175,12.767,9.4 YR 4.10/0.80,12.08, 12.46, 11.68,41.94, 1.61, 4.86,9.71, 9.74, 9.89, 9.99, 10.08, 10.12, 10.22, 10.37, 10.52, 10.68, 10.81, 10.92, 10.96, 11.18, 11.34, 11.51, 11.68, 11.92, 12.15, 12.34, 12.53, 12.72, 12.94, 13.14, 13.30, 13.51, 13.67, 13.85, 14.05, 14.20, 14.37, 14.53, 14.71, 14.96, 15.18, 15.34, 15.57, 15.75, 15.96, 
23.5,23.5,1,23.500,05/08/2021 14:29:02,-5.199,8.862,1153962.109,13.476,8.4 YR 4.20/0.70,12.77, 13.14, 12.54,42.97, 1.87, 4.37,10.98, 10.94, 11.04, 11.08, 11.07, 11.09, 11.11, 11.19, 11.34, 11.49, 11.57, 11.68, 11.75, 11.79, 12.00, 12.20, 12.43, 12.59, 12.71, 12.91, 13.16, 13.39, 13.63, 13.89, 14.06, 14.25, 14.41, 14.59, 14.78, 14.99, 15.15, 15.30, 15.51, 15.75, 15.98, 16.19, 16.36, 16.59, 16.79, 
24.0,24.0,1,24.000,05/08/2021 14:29:19,-3.549,8.598,1153962.040,12.664,9.1 YR 4.10/0.90,11.99, 12.33, 11.36,41.73, 1.94, 5.38,9.29, 9.33, 9.51, 9.62, 9.72, 9.77, 9.88, 10.04, 10.21, 10.39, 10.52, 10.65, 10.71, 10.88, 11.06, 11.27, 11.46, 11.68, 11.93, 12.16, 12.39, 12.63, 12.90, 13.13, 13.31, 13.52, 13.68, 13.89, 14.08, 14.27, 14.40, 14.63, 14.76, 15.08, 15.27, 15.52, 15.68, 15.90, 16.11, 
24.5,24.5,1,24.500,05/08/2021 14:29:28,-5.494,8.071,1153961.976,11.346,9.6 YR 3.90/1.00,10.73, 11.01, 9.76,39.60, 2.02, 6.35,7.56, 7.64, 7.80, 7.93, 8.07, 8.15, 8.33, 8.50, 8.72, 8.91, 9.08, 9.19, 9.29, 9.47, 9.67, 9.90, 10.13, 10.36, 10.60, 10.85, 11.09, 11.34, 11.61, 11.84, 12.05, 12.24, 12.40, 12.61, 12.79, 12.99, 13.12, 13.35, 13.50, 13.79, 14.01, 14.24, 14.41, 14.64, 14.87, 
25.0,25.0,1,25.000,05/08/2021 14:29:45,-6.148,8.858,1153961.780,13.642,9.0 YR 4.20/0.80,12.92, 13.33, 12.57,43.25, 1.72, 4.77,10.53, 10.54, 10.70, 10.80, 10.86, 10.90, 11.02, 11.18, 11.33, 11.50, 11.64, 11.74, 11.78, 11.98, 12.15, 12.33, 12.52, 12.71, 12.95, 13.18, 13.38, 13.63, 13.86, 14.06, 14.27, 14.45, 14.60, 14.78, 14.97, 15.14, 15.30, 15.44, 15.63, 15.88, 16.11, 16.29, 16.51, 16.68, 16.90, 
25.5,25.5,1,25.500,05/08/2021 14:30:02,-6.364,7.668,1153961.912,11.365,9.6 YR 3.90/0.90,10.75, 11.04, 9.89,39.65, 1.89, 6.04,7.74, 7.80, 7.99, 8.11, 8.19, 8.32, 8.47, 8.64, 8.86, 9.03, 9.19, 9.30, 9.40, 9.56, 9.78, 9.99, 10.19, 10.45, 10.67, 10.88, 11.12, 11.34, 11.61, 11.83, 12.00, 12.21, 12.36, 12.56, 12.74, 12.95, 13.08, 13.28, 13.47, 13.72, 13.94, 14.15, 14.32, 14.53, 14.76, 
